Reporting_Economy,2000,2005,2010,2015,2020
Trinidad and Tobago,1068580457,1976154943,2151231277,,
Tunisia,719391091,1491402561,2046280591,1865718366,
Turkey,5392095166,12255878808,10979470951,9025520399,4927098598
Uganda,160581726,336735712,897444130,979922419,
Ukraine,,,7071878857,3891077643,3754043328
United Arab Emirates,,365878060,1364254019,,
United States of America,84738072139,195000000000,266000000000,146000000000,106000000000
Uruguay,468317318,824931666,1372299577,1059416631,770828776
"Venezuela, Bolivarian Republic of",439128037,46817825,96656296,926689701,
Zambia,,237985797,577280520,1495678771,
Zimbabwe,287735030,,858532552,1518621619,
