Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020
Bulgaria,SI3_AGG - TO - Total merchandise,World,25371.0,26572.0,31438.0,33617.0,33340.0,31907.0
Burkina Faso,SI3_AGG - TO - Total merchandise,World,2176.0,2509.0,2875.0,3254.0,3239.0,4372.0
Burundi,SI3_AGG - TO - Total merchandise,World,121.0,125.0,172.0,180.0,180.0,162.0
Cabo Verde,SI3_AGG - TO - Total merchandise,World,67.0,60.0,50.0,76.0,62.0,53.0
Cambodia,SI3_AGG - TO - Total merchandise,World,8542.0,10069.0,11278.0,12700.0,14825.0,17215.0
Cameroon,SI3_AGG - TO - Total merchandise,World,4058.0,3305.0,3233.0,3803.0,4084.0,3385.0
Canada,SI3_AGG - TO - Total merchandise,World,410062.0,389991.0,420665.0,450743.0,446585.0,390599.0
Caribbean Community (CARICOM),SI3_AGG - TO - Total merchandise,World,17651.0,14471.0,16261.0,18707.0,15519.0,13300.0
Cayman Islands,SI3_AGG - TO - Total merchandise,World,65.0,58.0,39.0,41.0,50.0,22.0
Central African Economic and Monetary Community (CAEMC),SI3_AGG - TO - Total merchandise,World,26806.0,22655.0,24914.0,31287.0,24933.0,17576.0
Central African Republic,SI3_AGG - TO - Total merchandise,World,86.0,115.0,140.0,164.0,147.0,125.0
Central American Common Market (CACM),SI3_AGG - TO - Total merchandise,World,50021.0,50165.0,52436.0,53157.0,54171.0,50992.0
Chad,SI3_AGG - TO - Total merchandise,World,2426.0,2090.0,2621.0,3160.0,3205.0,2623.0
Chile,SI3_AGG - TO - Total merchandise,World,62035.0,60718.0,68823.0,74708.0,68763.0,73485.0
China,SI3_AGG - TO - Total merchandise,World,2273468.0,2097632.0,2263346.0,2486695.0,2499457.0,2590221.0
Colombia,SI3_AGG - TO - Total merchandise,World,35691.0,31757.0,36897.0,41774.0,39489.0,31008.0
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - TO - Total merchandise,World,89519.0,90669.0,112114.0,136187.0,125194.0,103871.0
"Commonwealth of Independent States (CIS), including certain associate and former member States",SI3_AGG - TO - Total merchandise,World,458059.0,379403.0,473883.0,590996.0,565852.0,452447.0
Comoros,SI3_AGG - TO - Total merchandise,World,17.0,31.0,39.0,41.0,39.0,21.0
Congo,SI3_AGG - TO - Total merchandise,World,8623.0,7901.0,8252.0,11155.0,5576.0,3340.0
Cook Islands,SI3_AGG - TO - Total merchandise,World,14.0,13.0,20.0,18.0,17.0,20.0
Costa Rica,SI3_AGG - TO - Total merchandise,World,9422.0,10361.0,10769.0,11344.0,11712.0,12174.0
Côte d'Ivoire,SI3_AGG - TO - Total merchandise,World,11730.0,10876.0,11853.0,11912.0,12629.0,11922.0
Croatia,SI3_AGG - TO - Total merchandise,World,12925.0,13813.0,16069.0,17402.0,17180.0,17167.0
Cuba,SI3_AGG - TO - Total merchandise,World,3350.0,2317.0,2402.0,2373.0,2062.0,2200.0
Curaçao,SI3_AGG - TO - Total merchandise,World,466.0,419.0,425.0,586.0,398.0,271.0
Cyprus,SI3_AGG - TO - Total merchandise,World,3295.0,2965.0,3288.0,5052.0,3453.0,3057.0
Czech Republic,SI3_AGG - TO - Total merchandise,World,157878.0,162692.0,182142.0,202238.0,199128.0,192057.0
Democratic Republic of the Congo,SI3_AGG - TO - Total merchandise,World,8685.0,7193.0,12296.0,20004.0,13382.0,14122.0
Denmark,SI3_AGG - TO - Total merchandise,World,95457.0,95326.0,102506.0,109711.0,110779.0,108274.0
Djibouti,SI3_AGG - TO - Total merchandise,World,134.0,1732.0,3162.0,3522.0,3996.0,2921.0
Dominica,SI3_AGG - TO - Total merchandise,World,30.0,18.0,12.0,10.0,18.0,14.0
Dominican Republic,SI3_AGG - TO - Total merchandise,World,9442.0,9840.0,10135.0,10638.0,11193.0,10297.0
ECCAS (Economic Community of Central African States),SI3_AGG - TO - Total merchandise,World,69486.0,58306.0,73048.0,93367.0,74474.0,54219.0
Ecuador,SI3_AGG - TO - Total merchandise,World,18331.0,16798.0,19122.0,21628.0,22329.0,20227.0
Egypt,SI3_AGG - TO - Total merchandise,World,21349.0,25468.0,25604.0,27624.0,28993.0,26630.0
El Salvador,SI3_AGG - TO - Total merchandise,World,5509.0,5420.0,5760.0,5905.0,5905.0,5044.0
Equatorial Guinea,SI3_AGG - TO - Total merchandise,World,6500.0,4900.0,5200.0,6500.0,5300.0,3200.0
Eritrea,SI3_AGG - TO - Total merchandise,World,499.0,436.0,583.0,669.0,768.0,556.0
Estonia,SI3_AGG - TO - Total merchandise,World,12836.0,13171.0,14559.0,17017.0,16110.0,16381.0
Eswatini,SI3_AGG - TO - Total merchandise,World,1812.0,1633.0,1801.0,1842.0,2002.0,1703.0
Ethiopia,SI3_AGG - TO - Total merchandise,World,2914.0,2789.0,3022.0,2704.0,2741.0,3258.0
Euro Area (19),SI3_AGG - TO - Total merchandise,World,4139156.0,4162775.0,4562714.0,4996532.0,4836700.0,4493908.0
Europe,SI3_AGG - TO - Total merchandise,World,6009471.0,5991440.0,6555260.0,7181438.0,6986675.0,6530566.0
European Free Trade Association (EFTA),SI3_AGG - TO - Total merchandise,World,398367.0,395746.0,405535.0,438096.0,421955.0,408364.0
European Union,SI3_AGG - TO - Total merchandise,World,4929053.0,4969739.0,5466719.0,5993402.0,5825085.0,5461710.0
European Union,SI3_AGG - TO - Total merchandise,European Union,2848864.0,2904211.0,3213323.0,3561045.0,3438889.0,3252118.0
European Union,SI3_AGG - TO - Total merchandise,Extra EU Trade,2080189.0,2065528.0,2253396.0,2432357.0,2386196.0,2209593.0
Fiji,SI3_AGG - TO - Total merchandise,World,895.0,926.0,956.0,1041.0,1033.0,828.0
Finland,SI3_AGG - TO - Total merchandise,World,59817.0,57908.0,68073.0,75869.0,73468.0,66192.0
Four East Asian traders,SI3_AGG - TO - Total merchandise,World,1674173.0,1622863.0,1814254.0,1922179.0,1798505.0,1770998.0
France,SI3_AGG - TO - Total merchandise,World,506264.0,501179.0,535298.0,582222.0,570951.0,488372.0
