Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020
"Aruba, the Netherlands with respect to",SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
"Aruba, the Netherlands with respect to",SI3_AGG - MAMT - Machinery and transport equipment,World,7,7,6,6,9,4
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOF - Office and telecom equipment,World,1,1,1,1,1,1
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,1,0,0,1,0
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,0,1,0,0,0
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTTE - Transport equipment,World,4,3,2,3,3,1
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTAU - Automotive products,World,2,1,1,2,1,1
"Aruba, the Netherlands with respect to",SI3_AGG - MATE - Textiles,World,0,0,0,0,0,0
"Aruba, the Netherlands with respect to",SI3_AGG - MACL - Clothing,World,1,1,0,1,1,0
Asia,SI3_AGG - TO - Total merchandise,World,5967082,5759579,6381627,6904496,6773997,6680814
Asia-Pacific Economic Cooperation (APEC),SI3_AGG - TO - Total merchandise,World,8325980,7982945,8811519,9587555,9406581,8971269
Association of Southeast Asian Nations (ASEAN),SI3_AGG - TO - Total merchandise,World,1167083,1145109,1316348,1447883,1423772,1384557
Australia,SI3_AGG - TO - Total merchandise,World,187684,192505,231131,257098,271005,250578
Australia,SI3_AGG - AG - Agricultural products,World,35975,33828,38080,36472,35184,31427
Australia,SI3_AGG - AGFO - Food,World,30406,27823,31463,29927,29497,27925
Australia,SI3_AGG - MI - Fuels and mining products,World,107927,112245,145154,170951,184308,169108
Australia,SI3_AGG - MIFU - Fuels,World,47494,50414,69904,91080,87819,61251
Australia,SI3_AGG - MA - Manufactures,World,25726,25986,26869,28677,29651,25922
Australia,SI3_AGG - MAIS - Iron and steel,World,511,450,701,766,811,630
Australia,SI3_AGG - MACH - Chemicals,World,5513,6243,6607,7808,8287,7653
Australia,SI3_AGG - MACHPH - Pharmaceuticals,World,1856,2593,2663,3534,4340,3821
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,12051,11523,11114,11449,11827,10149
Australia,SI3_AGG - MAMTOF - Office and telecom equipment,World,2738,2589,2560,2671,3034,2639
Australia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1357,1167,1081,1108,1107,1015
Australia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1246,1290,1298,1349,1720,1436
Australia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,135,132,181,214,206,189
Australia,SI3_AGG - MAMTTE - Transport equipment,World,4681,4323,3810,3880,3953,3119
Australia,SI3_AGG - MAMTAU - Automotive products,World,2534,2227,1720,1249,1311,1098
Australia,SI3_AGG - MATE - Textiles,World,212,201,210,202,212,190
Australia,SI3_AGG - MACL - Clothing,World,226,244,251,250,263,264
Australia and New Zealand,SI3_AGG - TO - Total merchandise,World,222039,226260,269206,296770,310522,289497
Austria,SI3_AGG - TO - Total merchandise,World,152728,152090,168026,184815,178670,168538
Austria,SI3_AGG - AG - Agricultural products,World,14707,15253,16596,18190,17980,18253
Austria,SI3_AGG - AGFO - Food,World,11532,11880,12954,14008,14108,14774
Austria,SI3_AGG - MI - Fuels and mining products,World,7910,7242,8784,10267,9790,8862
Austria,SI3_AGG - MIFU - Fuels,World,2964,2543,3166,3879,4019,3226
Austria,SI3_AGG - MA - Manufactures,World,128679,127990,141190,154694,149263,139226
Austria,SI3_AGG - MAIS - Iron and steel,World,7690,7162,8759,9950,8681,7128
Austria,SI3_AGG - MACH - Chemicals,World,20352,20012,22810,23923,24511,25707
Austria,SI3_AGG - MACHPH - Pharmaceuticals,World,9400,9304,11231,11057,12483,13639
Austria,SI3_AGG - MAMT - Machinery and transport equipment,World,61933,62419,68850,75578,73194,65950
Austria,SI3_AGG - MAMTOF - Office and telecom equipment,World,9392,9118,10443,10988,9097,8471
