Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,1874119.00,1941498.00,2009524.00,2077584.00,2145004.00,2211316.00,2276038.00,2339133.00,2401142.00,2462938.00,2525067.00,2587716.00,2650484.00,2712780.00,2773750.00,2832752.00,2889583.00,2944375.00,2997419.00,3049107.00,3099759.00,3148096.00,3193696.00,3238592.00,3285593.00,3335935.00,3392264.00,3451947.00,3504667.00,3536473.00,3538164.00,3505249.00,3442820.00,3363111.00,3283664.00,3217349.00,3168213.00,3133081.00,3108691.00,3089020.00,3069597.00,3050686.00,3033976.00,3017938.00,3000715.00,2981262.00,2958301.00,2932615.00,2907615.00,2888094.00,2877314.00,2876536.00,2884239.00,2897593.00,2912403.00,2925559.00,2936147.00,2944789.00,2951741.00,2957728.00,2963234.00
American Samoa,20127.00,20605.00,21246.00,22029.00,22850.00,23675.00,24473.00,25235.00,25980.00,26698.00,27362.00,27982.00,28564.00,29103.00,29595.00,30045.00,30455.00,30834.00,31262.00,31842.00,32648.00,33697.00,34969.00,36413.00,37946.00,39521.00,41114.00,42741.00,44346.00,45894.00,47351.00,48682.00,49900.00,51025.00,52099.00,53158.00,54209.00,55227.00,56180.00,57049.00,57816.00,58496.00,59077.00,59495.00,59684.00,59557.00,59109.00,58367.00,57490.00,56675.00,56084.00,55755.00,55669.00,55717.00,55791.00,55806.00,55739.00,55617.00,55461.00,55312.00,55197.00
Antigua and Barbuda,54132.00,55005.00,55849.00,56701.00,57641.00,58699.00,59912.00,61240.00,62523.00,63553.00,64184.00,64354.00,64134.00,63649.00,63108.00,62671.00,62353.00,62162.00,62038.00,61948.00,61861.00,61789.00,61780.00,61779.00,61784.00,61785.00,61754.00,61713.00,61758.00,62007.00,62533.00,63363.00,64459.00,65777.00,67201.00,68672.00,70176.00,71707.00,73219.00,74674.00,76007.00,77212.00,78298.00,79311.00,80347.00,81462.00,82715.00,84029.00,85394.00,86743.00,88030.00,89250.00,90407.00,91510.00,92562.00,93571.00,94520.00,95425.00,96282.00,97115.00,97928.00
Australia,10276477.00,10483000.00,10742000.00,10950000.00,11167000.00,11388000.00,11651000.00,11799000.00,12009000.00,12263000.00,12507000.00,12937000.00,13177000.00,13380000.00,13723000.00,13893000.00,14033000.00,14192000.00,14358000.00,14514000.00,14692000.00,14927000.00,15178000.00,15369000.00,15544000.00,15758000.00,16018400.00,16263900.00,16532200.00,16814400.00,17065100.00,17284000.00,17495000.00,17667000.00,17855000.00,18072000.00,18311000.00,18517000.00,18711000.00,18926000.00,19153000.00,19413000.00,19651400.00,19895400.00,20127400.00,20394800.00,20697900.00,20827600.00,21249200.00,21691700.00,22031750.00,22340024.00,22733465.00,23128129.00,23475686.00,23815995.00,24190907.00,24601860.00,24982688.00,25365745.00,25693267.00
Austria,7047539.00,7086299.00,7129864.00,7175811.00,7223801.00,7270889.00,7322066.00,7376998.00,7415403.00,7441055.00,7467086.00,7500482.00,7544201.00,7586115.00,7599038.00,7578903.00,7565525.00,7568430.00,7562305.00,7549425.00,7549433.00,7568710.00,7574140.00,7561910.00,7561434.00,7564985.00,7569794.00,7574586.00,7585317.00,7619567.00,7677850.00,7754891.00,7840709.00,7905633.00,7936118.00,7948278.00,7959017.00,7968041.00,7976789.00,7992324.00,8011566.00,8042293.00,8081957.00,8121423.00,8171966.00,8227829.00,8268641.00,8295487.00,8321496.00,8343323.00,8363404.00,8391643.00,8429991.00,8479823.00,8546356.00,8642699.00,8736668.00,8797566.00,8840521.00,8879920.00,8916864.00
Azerbaijan,3895398.00,4030325.00,4171428.00,4315127.00,4456691.00,4592601.00,4721528.00,4843872.00,4960237.00,5071930.00,5180032.00,5284518.00,5385266.00,5483088.00,5579071.00,5674129.00,5768730.00,5863138.00,5957927.00,6053635.00,6150735.00,6249312.00,6349555.00,6452067.00,6557581.00,6666447.00,6778631.00,6893486.00,7010027.00,7126877.00,7175200.00,7271300.00,7382050.00,7494800.00,7596550.00,7684850.00,7763000.00,7838250.00,7913000.00,7982750.00,8048600.00,8111200.00,8171950.00,8234100.00,8306500.00,8391850.00,8484550.00,8581300.00,8763400.00,8947243.00,9054332.00,9173082.00,9295784.00,9416801.00,9535079.00,9649341.00,9757812.00,9854033.00,9939771.00,10024283.00,10093121.00
Burundi,2797925.00,2852438.00,2907320.00,2964416.00,3026292.00,3094378.00,3170496.00,3253215.00,3336930.00,3413909.00,3479070.00,3530000.00,3569655.00,3605120.00,3646428.00,3700879.00,3770870.00,3854446.00,3949264.00,4051239.00,4157296.00,4266520.00,4379727.00,4497544.00,4621096.00,4750832.00,4886745.00,5027143.00,5168703.00,5307069.00,5438959.00,5564923.00,5685569.00,5798054.00,5898964.00,5987044.00,6060110.00,6122130.00,6185564.00,6267132.00,6378871.00,6525546.00,6704118.00,6909161.00,7131688.00,7364857.00,7607850.00,7862226.00,8126104.00,8397661.00,8675606.00,8958406.00,9245992.00,9540302.00,9844301.00,10160034.00,10488002.00,10827010.00,11175379.00,11530577.00,11890781.00
Belgium,9153489.00,9183948.00,9220578.00,9289770.00,9378113.00,9463667.00,9527807.00,9580991.00,9618756.00,9646032.00,9655549.00,9673162.00,9711115.00,9741720.00,9772419.00,9800700.00,9818227.00,9830358.00,9839534.00,9848382.00,9859242.00,9858982.00,9856303.00,9855520.00,9855372.00,9858308.00,9861823.00,9870234.00,9901664.00,9937697.00,9967379.00,10004486.00,10045158.00,10084475.00,10115603.00,10136811.00,10156637.00,10181245.00,10203008.00,10226419.00,10251250.00,10286570.00,10332785.00,10376133.00,10421137.00,10478617.00,10547958.00,10625700.00,10709973.00,10796493.00,10895586.00,11038264.00,11106932.00,11159407.00,11209057.00,11274196.00,11331422.00,11375158.00,11427054.00,11488980.00,11544241.00
Benin,2431617.00,2465865.00,2502897.00,2542864.00,2585961.00,2632361.00,2682159.00,2735308.00,2791588.00,2850657.00,2912338.00,2976575.00,3043563.00,3113681.00,3187413.00,3265167.00,3347169.00,3433445.00,3523933.00,3618519.00,3717161.00,3820126.00,3927717.00,4039940.00,4156819.00,4278502.00,4404504.00,4535262.00,4672844.00,4820020.00,4978489.00,5149496.00,5331805.00,5521761.00,5714215.00,5905552.00,6094272.00,6281644.00,6470275.00,6664102.00,6865946.00,7076728.00,7295400.00,7520556.00,7750003.00,7982223.00,8216893.00,8454790.00,8696915.00,8944713.00,9199254.00,9460829.00,9729254.00,10004594.00,10286839.00,10575962.00,10872072.00,11175192.00,11485035.00,11801151.00,12123198.00
Burkina Faso,4829289.00,4894580.00,4960328.00,5027811.00,5098891.00,5174874.00,5256360.00,5343025.00,5434046.00,5528172.00,5624592.00,5723378.00,5825174.00,5930493.00,6040045.00,6154554.00,6274032.00,6398933.00,6530820.00,6671656.00,6822837.00,6985166.00,7158259.00,7340910.00,7531239.00,7727908.00,7930689.00,8140080.00,8356313.00,8579818.00,8811033.00,9050086.00,9297110.00,9552473.00,9816584.00,10089880.00,10372734.00,10665552.00,10968722.00,11282696.00,11607951.00,11944589.00,12293097.00,12654624.00,13030576.00,13421935.00,13829173.00,14252029.00,14689725.00,15141098.00,15605211.00,16081915.00,16571252.00,17072791.00,17586029.00,18110616.00,18646350.00,19193236.00,19751466.00,20321383.00,20903278.00
