Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Switzerland,5327827.00,5434294.00,5573815.00,5694247.00,5789228.00,5856472.00,5918002.00,5991785.00,6067714.00,6136387.00,6180877.00,6213399.00,6260956.00,6307347.00,6341405.00,6338632.00,6302504.00,6281174.00,6281738.00,6294365.00,6319408.00,6354074.00,6391309.00,6418773.00,6441865.00,6470365.00,6504124.00,6545106.00,6593386.00,6646912.00,6715519.00,6799978.00,6875364.00,6938265.00,6993795.00,7040687.00,7071850.00,7088906.00,7110001.00,7143991.00,7184250.00,7229854.00,7284753.00,7339001.00,7389625.00,7437115.00,7483934.00,7551117.00,7647675.00,7743831.00,7824909.00,7912398.00,7996861.00,8089346.00,8188649.00,8282396.00,8373338.00,8451840.00,8514329.00,8575280.00,8636561.00
Channel Islands,109419.00,110398.00,111464.00,112591.00,113777.00,114989.00,116229.00,117469.00,118725.00,119975.00,121200.00,122405.00,123611.00,124722.00,125680.00,126420.00,126908.00,127186.00,127395.00,127691.00,128204.00,128986.00,129976.00,131153.00,132445.00,133800.00,135242.00,136762.00,138250.00,139580.00,140677.00,141469.00,142006.00,142407.00,142867.00,143480.00,144348.00,145387.00,146500.00,147553.00,148439.00,149097.00,149591.00,150070.00,150722.00,151674.00,152999.00,154644.00,156441.00,158187.00,159718.00,160990.00,162051.00,163039.00,164107.00,165387.00,166922.00,168666.00,170496.00,172264.00,173859.00
Chile,8132988.00,8303804.00,8476895.00,8650390.00,8821855.00,8989607.00,9152848.00,9312091.00,9468851.00,9625304.00,9783134.00,9942716.00,10103675.00,10265827.00,10428803.00,10592310.00,10756876.00,10922777.00,11089165.00,11254877.00,11419350.00,11582020.00,11743909.00,11907955.00,12078137.00,12257238.00,12445833.00,12642917.00,12847712.00,13058758.00,13274617.00,13495255.00,13719818.00,13944934.00,14166346.00,14380864.00,14587367.00,14786227.00,14977736.00,15162801.00,15342350.00,15516112.00,15684413.00,15849649.00,16014972.00,16182713.00,16354507.00,16530201.00,16708255.00,16886184.00,17062531.00,17233584.00,17400359.00,17571511.00,17758969.00,17969356.00,18209072.00,18470435.00,18729166.00,18952035.00,19116209.00
China,667070000.00,660330000.00,665770000.00,682335000.00,698355000.00,715185000.00,735400000.00,754550000.00,774510000.00,796025000.00,818315000.00,841105000.00,862030000.00,881940000.00,900350000.00,916395000.00,930685000.00,943455000.00,956165000.00,969005000.00,981235000.00,993885000.00,1008630000.00,1023310000.00,1036825000.00,1051040000.00,1066790000.00,1084035000.00,1101630000.00,1118650000.00,1135185000.00,1150780000.00,1164970000.00,1178440000.00,1191835000.00,1204855000.00,1217550000.00,1230075000.00,1241935000.00,1252735000.00,1262645000.00,1271850000.00,1280400000.00,1288400000.00,1296075000.00,1303720000.00,1311020000.00,1317885000.00,1324655000.00,1331260000.00,1337705000.00,1345035000.00,1354190000.00,1363240000.00,1371860000.00,1379860000.00,1387790000.00,1396215000.00,1402760000.00,1407745000.00,1410929362.00
Cote d'Ivoire,3503559.00,3631547.00,3770756.00,3918630.00,4071411.00,4226843.00,4383723.00,4544168.00,4713134.00,4897470.00,5102070.00,5328735.00,5576026.00,5841513.00,6121295.00,6412409.00,6713949.00,7026497.00,7350269.00,7685927.00,8033652.00,8393689.00,8764991.00,9144940.00,9530103.00,9918204.00,10307268.00,10698188.00,11094740.00,11502453.00,11924873.00,12362404.00,12812428.00,13271638.00,13735438.00,14199759.00,14665125.00,15130674.00,15589407.00,16032573.00,16454660.00,16853027.00,17231539.00,17599613.00,17970493.00,18354513.00,18754914.00,19171250.00,19605568.00,20059147.00,20532944.00,21028652.00,21547188.00,22087506.00,22647672.00,23226148.00,23822726.00,24437475.00,25069226.00,25716554.00,26378275.00
Cameroon,5176920.00,5285015.00,5398730.00,5518104.00,5643039.00,5773538.00,5909874.00,6052419.00,6201410.00,6357096.00,6519754.00,6689659.00,6867170.00,7052847.00,7247284.00,7451057.00,7664398.00,7887571.00,8121081.00,8365560.00,8621409.00,8888534.00,9166813.00,9456496.00,9757849.00,10070806.00,10395481.00,10731058.00,11075423.00,11425807.00,11780086.00,12137912.00,12499499.00,12864091.00,13230978.00,13599984.00,13970812.00,14344444.00,14723772.00,15112598.00,15513944.00,15928910.00,16357605.00,16800869.00,17259322.00,17733408.00,18223677.00,18730283.00,19252674.00,19789922.00,20341236.00,20906392.00,21485267.00,22077300.00,22681853.00,23298376.00,23926549.00,24566070.00,25216261.00,25876387.00,26545864.00
"Congo, Dem. Rep.",15248256.00,15637700.00,16041187.00,16461828.00,16903830.00,17369882.00,17862052.00,18378620.00,18913874.00,19459818.00,20011033.00,20564062.00,21121360.00,21690448.00,22282127.00,22903587.00,23560470.00,24249127.00,24956387.00,25663598.00,26358905.00,27040329.00,27717293.00,28403858.00,29119663.00,29881222.00,30683877.00,31528702.00,32443784.00,33464767.00,34612023.00,35908240.00,37333917.00,38815835.00,40252973.00,41576239.00,42757239.00,43827191.00,44849968.00,45919615.00,47105830.00,48428534.00,49871670.00,51425583.00,53068869.00,54785894.00,56578046.00,58453687.00,60411195.00,62448572.00,64563853.00,66755151.00,69020749.00,71358804.00,73767445.00,76244532.00,78789130.00,81398765.00,84068092.00,86790568.00,89561404.00
"Congo, Rep.",1018254.00,1043119.00,1069236.00,1096638.00,1125354.00,1155389.00,1186782.00,1219547.00,1253761.00,1289519.00,1326894.00,1365891.00,1406510.00,1448632.00,1492055.00,1536658.00,1582361.00,1629218.00,1677326.00,1726865.00,1777932.00,1830629.00,1884873.00,1940454.00,1996994.00,2054308.00,2112359.00,2171319.00,2231462.00,2293161.00,2356740.00,2422312.00,2489945.00,2559880.00,2632345.00,2707532.00,2785815.00,2867283.00,2951651.00,3038432.00,3127420.00,3217930.00,3310376.00,3406915.00,3510468.00,3622775.00,3745143.00,3876123.00,4011487.00,4145400.00,4273738.00,4394842.00,4510197.00,4622757.00,4736965.00,4856093.00,4980996.00,5110701.00,5244363.00,5380504.00,5518092.00
Colombia,16057714.00,16567817.00,17092919.00,17629978.00,18175187.00,18725242.00,19279734.00,19837508.00,20393704.00,20942453.00,21480064.00,22003983.00,22516429.00,23024512.00,23538390.00,24065502.00,24608102.00,25164544.00,25733669.00,26312996.00,26900508.00,27496608.00,28101824.00,28714183.00,29331230.00,29951194.00,30572479.00,31195417.00,31822527.00,32457497.00,33102569.00,33758328.00,34422568.00,35091272.00,35758978.00,36421438.00,37076387.00,37723803.00,38364307.00,38999468.00,39629965.00,40255956.00,40875363.00,41483872.00,42075953.00,42647731.00,43200901.00,43737512.00,44254972.00,44750054.00,45222699.00,45662747.00,46075721.00,46495492.00,46967706.00,47520667.00,48175048.00,48909844.00,49661056.00,50339443.00,50882884.00
Comoros,191122.00,194149.00,197202.00,200371.00,203762.00,207429.00,211477.00,215900.00,220574.00,225324.00,230055.00,234645.00,239229.00,244207.00,250107.00,257285.00,265958.00,275903.00,286628.00,297451.00,307831.00,317617.00,326944.00,336088.00,345455.00,355337.00,365765.00,376647.00,387964.00,399638.00,411598.00,423873.00,436454.00,449270.00,462280.00,475394.00,488625.00,501955.00,515382.00,528853.00,542358.00,555895.00,569480.00,583213.00,597230.00,611625.00,626427.00,641624.00,657227.00,673251.00,689696.00,706578.00,723865.00,741511.00,759390.00,777435.00,795597.00,813890.00,832322.00,850891.00,869595.00
Cabo Verde,201770.00,205321.00,210141.00,216087.00,222949.00,230421.00,238655.00,247522.00,256169.00,263461.00,268633.00,271315.00,271841.00,271068.00,270228.00,270240.00,271345.00,273335.00,276182.00,279729.00,283848.00,288678.00,294244.00,300226.00,306140.00,311668.00,316613.00,321137.00,325744.00,331180.00,337953.00,346229.00,355763.00,366057.00,376409.00,386288.00,395533.00,404248.00,412513.00,420456.00,428178.00,435701.00,442955.00,449925.00,456619.00,463034.00,469171.00,475067.00,480846.00,486667.00,492644.00,498858.00,505241.00,511740.00,518276.00,524740.00,531140.00,537499.00,543764.00,549936.00,555988.00
Costa Rica,1330787.00,1381187.00,1433346.00,1486555.00,1539942.00,1592834.00,1645076.00,1696742.00,1747690.00,1797891.00,1847394.00,1896074.00,1944170.00,1992522.00,2042242.00,2094186.00,2148681.00,2205618.00,2264942.00,2326460.00,2389973.00,2455593.00,2523358.00,2593015.00,2664220.00,2736719.00,2810245.00,2884856.00,2960932.00,3039015.00,3119436.00,3202083.00,3286525.00,3372298.00,3458829.00,3545524.00,3632361.00,3718952.00,3803893.00,3885428.00,3962369.00,4034074.00,4100922.00,4164053.00,4225156.00,4285504.00,4345421.00,4404626.00,4463123.00,4520739.00,4577371.00,4633086.00,4688003.00,4742111.00,4795390.00,4847805.00,4899336.00,4949955.00,4999443.00,5047561.00,5094114.00
Caribbean small states,4194711.00,4274052.00,4353623.00,4432240.00,4508189.00,4580382.00,4648353.00,4712556.00,4773890.00,4833839.00,4893444.00,4953088.00,5012600.00,5071912.00,5130797.00,5189174.00,5246547.00,5303289.00,5360562.00,5419911.00,5482191.00,5548521.00,5617902.00,5687113.00,5751508.00,5808206.00,5855445.00,5894820.00,5930153.00,5967028.00,6009262.00,6058334.00,6112784.00,6170324.00,6227332.00,6281204.00,6331277.00,6378551.00,6423851.00,6468461.00,6513486.00,6559097.00,6604966.00,6650981.00,6696985.00,6742657.00,6788122.00,6833394.00,6878973.00,6925446.00,6973193.00,7022367.00,7072640.00,7123315.00,7173443.00,7222197.00,7269385.00,7314956.00,7358929.00,7401389.00,7442291.00
Cuba,7141241.00,7291201.00,7453535.00,7623300.00,7793258.00,7958171.00,8115487.00,8266373.00,8413549.00,8561391.00,8712535.00,8868087.00,9025347.00,9178809.00,9320943.00,9446441.00,9554186.00,9646142.00,9724044.00,9790850.00,9849457.00,9898891.00,9940314.00,9981303.00,10031651.00,10097910.00,10183894.00,10286645.00,10397519.00,10503967.00,10596986.00,10673534.00,10736386.00,10789312.00,10838461.00,10888246.00,10939285.00,10989730.00,11038706.00,11084673.00,11126423.00,11164676.00,11199664.00,11229185.00,11250369.00,11261586.00,11261241.00,11251117.00,11236975.00,11226711.00,11225833.00,11236671.00,11257112.00,11282722.00,11306909.00,11324777.00,11335108.00,11339255.00,11338146.00,11333484.00,11326616.00
Curacao,124826.00,126125.00,128414.00,130860.00,133148.00,135266.00,136682.00,138140.00,140298.00,142581.00,144739.00,147389.00,147710.00,146912.00,148351.00,149129.00,149399.00,149459.00,148341.00,147851.00,148041.00,148629.00,150101.00,151159.00,151940.00,152711.00,152662.00,151456.00,149254.00,146937.00,145400.00,144403.00,143912.00,144299.00,144630.00,145139.00,146306.00,146956.00,144472.00,139428.00,133860.00,129047.00,129205.00,131897.00,134192.00,137658.00,141239.00,144056.00,145880.00,146833.00,148703.00,150831.00,152088.00,153822.00,155909.00,157980.00,159664.00,160175.00,159336.00,157441.00,154947.00
Cayman Islands,7870.00,8024.00,8141.00,8219.00,8299.00,8370.00,8444.00,8518.00,8638.00,8833.00,9143.00,9588.00,10135.00,10778.00,11488.00,12234.00,13023.00,13848.00,14681.00,15485.00,16207.00,16857.00,17436.00,18005.00,18662.00,19460.00,20426.00,21539.00,22775.00,24028.00,25307.00,26540.00,27784.00,29068.00,30521.00,32161.00,34065.00,36155.00,38330.00,40423.00,42305.00,43934.00,45347.00,46624.00,47899.00,49261.00,50729.00,52280.00,53835.00,55321.00,56672.00,57877.00,58963.00,59933.00,60848.00,61721.00,62564.00,63382.00,64172.00,64948.00,65720.00
Cyprus,572933.00,576402.00,577696.00,577918.00,578628.00,580972.00,585313.00,591301.00,598495.00,606121.00,613618.00,620860.00,628002.00,635105.00,642322.00,649753.00,657524.00,665521.00,673253.00,680010.00,685408.00,689170.00,691716.00,694076.00,697715.00,703694.00,712335.00,723384.00,736476.00,751043.00,766616.00,783121.00,800610.00,818750.00,837104.00,855391.00,873426.00,891190.00,908710.00,926049.00,943288.00,960274.00,976968.00,993562.00,1010410.00,1027657.00,1045508.00,1063708.00,1081568.00,1098089.00,1112617.00,1124837.00,1135046.00,1143866.00,1152297.00,1160987.00,1170189.00,1179685.00,1189262.00,1198574.00,1207361.00
Czech Republic,9602006.00,9586651.00,9624660.00,9670685.00,9727804.00,9779358.00,9821040.00,9852899.00,9876346.00,9896580.00,9858071.00,9826815.00,9867632.00,9922266.00,9988459.00,10058620.00,10125939.00,10186755.00,10242098.00,10292341.00,10304193.00,10300591.00,10314826.00,10323856.00,10330213.00,10337118.00,10342227.00,10347318.00,10355276.00,10361068.00,10333355.00,10308578.00,10319123.00,10329855.00,10333587.00,10327253.00,10315241.00,10304131.00,10294373.00,10283860.00,10255063.00,10216605.00,10196916.00,10193998.00,10197101.00,10211216.00,10238905.00,10298828.00,10384603.00,10443936.00,10474410.00,10496088.00,10510785.00,10514272.00,10525347.00,10546059.00,10566332.00,10594438.00,10629928.00,10671870.00,10697858.00
Germany,72814900.00,73377632.00,74025784.00,74714353.00,75318337.00,75963695.00,76600311.00,76951336.00,77294314.00,77909682.00,78169289.00,78312842.00,78688452.00,78936666.00,78967433.00,78673554.00,78336950.00,78159814.00,78091820.00,78126350.00,78288576.00,78407907.00,78333366.00,78128282.00,77858685.00,77684873.00,77720436.00,77839920.00,78144619.00,78751283.00,79433029.00,80013896.00,80624598.00,81156363.00,81438348.00,81678051.00,81914831.00,82034771.00,82047195.00,82100243.00,82211508.00,82349925.00,82488495.00,82534176.00,82516260.00,82469422.00,82376451.00,82266372.00,82110097.00,81902307.00,81776930.00,80274983.00,80425823.00,80645605.00,80982500.00,81686611.00,82348669.00,82657002.00,82905782.00,83092962.00,83160871.00
Djibouti,83634.00,88503.00,94203.00,100618.00,107582.00,114976.00,122876.00,131405.00,140462.00,149889.00,159662.00,169372.00,179237.00,190569.00,205180.00,224177.00,248556.00,277472.00,308008.00,336080.00,358960.00,374934.00,385268.00,393800.00,406018.00,425608.00,454359.00,490337.00,528993.00,563855.00,590393.00,606843.00,615050.00,618504.00,622364.00,630385.00,643649.00,660858.00,680465.00,699973.00,717577.00,733019.00,746947.00,759639.00,771599.00,783248.00,794554.00,805456.00,816361.00,827820.00,840194.00,853671.00,868136.00,883296.00,898707.00,913998.00,929117.00,944100.00,958923.00,973557.00,988002.00
Dominica,60020.00,61036.00,61978.00,62917.00,63921.00,65044.00,66300.00,67687.00,69034.00,70214.00,71084.00,71569.00,71731.00,71739.00,71814.00,72088.00,72662.00,73443.00,74280.00,74960.00,75318.00,75314.00,75012.00,74484.00,73846.00,73207.00,72531.00,71842.00,71212.00,70722.00,70422.00,70377.00,70546.00,70818.00,71044.00,71105.00,70933.00,70592.00,70183.00,69828.00,69650.00,69671.00,69840.00,70102.00,70387.00,70580.00,70718.00,70797.00,70829.00,70848.00,70877.00,70912.00,70954.00,71019.00,71091.00,71175.00,71307.00,71460.00,71626.00,71808.00,71991.00
Denmark,4579603.00,4611687.00,4647727.00,4684483.00,4722072.00,4759012.00,4797381.00,4835354.00,4864883.00,4891860.00,4928757.00,4963126.00,4991596.00,5021861.00,5045297.00,5059862.00,5072596.00,5088419.00,5104248.00,5116801.00,5123027.00,5121572.00,5117810.00,5114297.00,5111619.00,5113691.00,5120534.00,5127024.00,5129516.00,5132594.00,5140939.00,5154298.00,5171370.00,5188628.00,5206180.00,5233373.00,5263074.00,5284991.00,5304219.00,5321799.00,5339616.00,5358783.00,5375931.00,5390574.00,5404523.00,5419432.00,5437272.00,5461438.00,5493621.00,5523095.00,5547683.00,5570572.00,5591572.00,5614932.00,5643475.00,5683483.00,5728010.00,5764980.00,5793636.00,5814422.00,5831404.00
Dominican Republic,3294222.00,3406282.00,3521018.00,3638110.00,3757123.00,3877768.00,3999796.00,4123100.00,4247559.00,4373127.00,4499722.00,4627202.00,4755464.00,4884460.00,5014187.00,5144632.00,5275767.00,5407496.00,5539596.00,5671801.00,5803929.00,5935895.00,6067769.00,6199657.00,6331760.00,6464229.00,6596967.00,6729930.00,6863438.00,6997877.00,7133491.00,7270413.00,7408339.00,7546467.00,7683707.00,7819239.00,7952766.00,8084407.00,8214427.00,8343288.00,8471317.00,8598599.00,8724974.00,8850317.00,8974444.00,9097262.00,9218681.00,9338856.00,9458079.00,9576736.00,9695117.00,9813219.00,9930916.00,10048226.00,10165182.00,10281675.00,10397738.00,10513111.00,10627147.00,10738957.00,10847904.00
Algeria,11057864.00,11336336.00,11619828.00,11912800.00,12221675.00,12550880.00,12902626.00,13275020.00,13663581.00,14061724.00,14464992.00,14872253.00,15285992.00,15709831.00,16149018.00,16607706.00,17085799.00,17582899.00,18102266.00,18647801.00,19221659.00,19824297.00,20452901.00,21101875.00,21763578.00,22431507.00,23102386.00,23774287.00,24443472.00,25106192.00,25758872.00,26400468.00,27028330.00,27635517.00,28213777.00,28757788.00,29266415.00,29742980.00,30192750.00,30623406.00,31042238.00,31451513.00,31855110.00,32264159.00,32692153.00,33149720.00,33641007.00,34166976.00,34730604.00,35333882.00,35977451.00,36661438.00,37383899.00,38140135.00,38923688.00,39728020.00,40551398.00,41389174.00,42228415.00,43053054.00,43851043.00
East Asia & Pacific (excluding high income),894875757.00,894479503.00,906413903.00,929634719.00,952494226.00,976360559.00,1003799539.00,1030341030.00,1057848841.00,1087054621.00,1117162921.00,1147907376.00,1176909425.00,1204956207.00,1231481379.00,1255568332.00,1277786882.00,1298403379.00,1318985502.00,1339874993.00,1360437112.00,1381732250.00,1405388781.00,1429179263.00,1451901724.00,1475340043.00,1500310495.00,1526774417.00,1553548236.00,1579666262.00,1605187660.00,1629631622.00,1652528279.00,1674580221.00,1696464118.00,1717901663.00,1738949771.00,1759750554.00,1779788454.00,1798639494.00,1816455800.00,1833422980.00,1849607527.00,1865132738.00,1880248912.00,1895275475.00,1909891482.00,1924018171.00,1938057262.00,1952017377.00,1965954326.00,1980940204.00,1997884913.00,2014779318.00,2031185907.00,2046830024.00,2062232304.00,2077970870.00,2091680327.00,2103705075.00,2113820753.00
Early-demographic dividend,980003345.00,1003194972.00,1027204700.00,1051972834.00,1077531237.00,1103859981.00,1130947721.00,1158861175.00,1187474694.00,1216839339.00,1246947673.00,1277799456.00,1309397210.00,1341779503.00,1374824941.00,1408534717.00,1442862522.00,1477869964.00,1513819992.00,1551093148.00,1589897378.00,1630293423.00,1672134835.00,1715134126.00,1758863284.00,1803032659.00,1847526576.00,1892336352.00,1937278919.00,1982160339.00,2028993568.00,2073591177.00,2117785781.00,2161761687.00,2205758867.00,2249993925.00,2294576653.00,2339379359.00,2384127937.00,2428606122.00,2472852816.00,2516662185.00,2560101448.00,2603300762.00,2646483605.00,2689792006.00,2733278857.00,2776922505.00,2820636607.00,2864298814.00,2907916947.00,2951423688.00,2994346938.00,3037084158.00,3079685581.00,3122156833.00,3164439749.00,3206485623.00,3248413593.00,3290291029.00,3332103561.00
East Asia & Pacific,1041673567.00,1043656626.00,1058119847.00,1083884354.00,1109291332.00,1135760430.00,1165660993.00,1194423916.00,1224481196.00,1256501888.00,1289442011.00,1324084663.00,1355934840.00,1386816705.00,1416257332.00,1442992143.00,1467572978.00,1490458433.00,1513242365.00,1536454977.00,1559219642.00,1582802675.00,1608709544.00,1634587947.00,1659196213.00,1684377898.00,1710979840.00,1739049562.00,1767394678.00,1795112149.00,1822134188.00,1848265154.00,1872676768.00,1896190507.00,1919576721.00,1942464423.00,1965146473.00,1987315524.00,2008705487.00,2028650228.00,2047640091.00,2065912033.00,2083186086.00,2099602481.00,2115458625.00,2131146847.00,2146744105.00,2161785511.00,2177119138.00,2192059400.00,2206884622.00,2222577723.00,2240312711.00,2257904491.00,2275075985.00,2291503725.00,2307625738.00,2323932848.00,2338201887.00,2350759473.00,2360916965.00
Europe & Central Asia (excluding high income),274647228.00,278931566.00,283238943.00,287564681.00,291878870.00,296127062.00,299713085.00,303366987.00,306934517.00,310433036.00,313941308.00,317445710.00,320945150.00,324422297.00,327916784.00,331431777.00,335100864.00,338710487.00,342280107.00,345827999.00,349436199.00,353122612.00,356678273.00,360204222.00,363975241.00,367739486.00,371479741.00,375227253.00,378837514.00,382076660.00,384394041.00,386438145.00,388126100.00,389516759.00,390275789.00,390571887.00,390931927.00,391287354.00,391524989.00,391488162.00,391578161.00,391307324.00,390980067.00,391145628.00,391510958.00,391928793.00,392488997.00,393193724.00,394372190.00,396021638.00,398060162.00,400286509.00,402534958.00,405034557.00,407530837.00,410073645.00,412538477.00,414846200.00,416880073.00,418757748.00,420185872.00
Europe & Central Asia,666753356.00,674450666.00,682397828.00,690411692.00,698355574.00,706070460.00,712830312.00,719406020.00,725725300.00,731903738.00,737524825.00,743140589.00,749283635.00,755259488.00,761029417.00,766625562.00,772129341.00,777422111.00,782653852.00,787910910.00,793299463.00,798559755.00,803342746.00,807903880.00,812662217.00,817497806.00,822470047.00,827505281.00,832553390.00,837438555.00,841536999.00,845399658.00,848878429.00,851973886.00,854082087.00,855490982.00,856856802.00,858163120.00,859296518.00,860311870.00,861270071.00,862339994.00,863908064.00,866189044.00,868783653.00,871433207.00,874134287.00,877278821.00,880911644.00,884448855.00,887904313.00,890136603.00,893755804.00,898022522.00,902367876.00,906669764.00,910870489.00,914608311.00,918031055.00,920807612.00,923142688.00
Ecuador,4543658.00,4674176.00,4809194.00,4948991.00,5093848.00,5243980.00,5399423.00,5560013.00,5725462.00,5895368.00,6069375.00,6247421.00,6429377.00,6614840.00,6803271.00,6994331.00,7187794.00,7383713.00,7582357.00,7784074.00,7989178.00,8197648.00,8409396.00,8624594.00,8843463.00,9066100.00,9292481.00,9522362.00,9755576.00,9991870.00,10230931.00,10472476.00,10716131.00,10961460.00,11207999.00,11455205.00,11703169.00,11951457.00,12198449.00,12442109.00,12681123.00,12914660.00,13143465.00,13369678.00,13596390.00,13825839.00,14059379.00,14296554.00,14535740.00,14774412.00,15011114.00,15243885.00,15474099.00,15707473.00,15951832.00,16212022.00,16491116.00,16785356.00,17084359.00,17373657.00,17643060.00
"Egypt, Arab Rep.",26632891.00,27366239.00,28112258.00,28871383.00,29644875.00,30433024.00,31237597.00,32056506.00,32881852.00,33703127.00,34513851.00,35311905.00,36102670.00,36896551.00,37708144.00,38549133.00,39422731.00,40329589.00,41275728.00,42267429.00,43309063.00,44400113.00,45539295.00,46728284.00,47968643.00,49258726.00,50602360.00,51991696.00,53399243.00,54788680.00,56134478.00,57424552.00,58666812.00,59880656.00,61095804.00,62334025.00,63601632.00,64892269.00,66200259.00,67515591.00,68831561.00,70152662.00,71485044.00,72826102.00,74172073.00,75523576.00,76873670.00,78232124.00,79636081.00,81134789.00,82761244.00,84529251.00,86422240.00,88404652.00,90424668.00,92442549.00,94447071.00,96442590.00,98423602.00,100388076.00,102334403.00
Euro area,265203956.00,267621091.00,270110063.00,272655396.00,275163380.00,277650954.00,279969050.00,281974870.00,283866408.00,285778639.00,287338854.00,288923399.00,290874612.00,292728242.00,294399217.00,295923529.00,297251532.00,298441848.00,299652841.00,300886487.00,302184216.00,303343114.00,304174261.00,304787497.00,305299144.00,305877743.00,306640636.00,307488377.00,308516476.00,309837575.00,311262608.00,312708132.00,314162056.00,315449093.00,316366781.00,317181461.00,318003013.00,318761752.00,319433985.00,320258891.00,321310789.00,322547874.00,324125339.00,325885957.00,327682513.00,329380417.00,330922785.00,332645162.00,334274725.00,335360891.00,336151482.00,335419656.00,336159199.00,337302111.00,338462234.00,339488382.00,340481755.00,341217243.00,341979171.00,342283354.00,342708355.00
Eritrea,1007586.00,1033320.00,1060489.00,1088859.00,1118152.00,1148188.00,1178875.00,1210304.00,1242633.00,1276122.00,1310947.00,1347180.00,1384789.00,1423749.00,1463986.00,1505438.00,1547978.00,1591622.00,1636771.00,1683932.00,1733423.00,1784557.00,1836825.00,1890556.00,1946299.00,2003942.00,2064803.00,2127421.00,2185607.00,2231144.00,2258649.00,2266356.00,2257593.00,2238631.00,2218436.00,2204227.00,2196467.00,2195192.00,2206439.00,2237412.00,2292413.00,2374721.00,2481059.00,2600972.00,2719809.00,2826653.00,2918209.00,2996540.00,3062782.00,3119920.00,3170437.00,3213969.00,,,,,,,,,
Spain,30455000.00,30739250.00,31023366.00,31296651.00,31609195.00,31954292.00,32283194.00,32682947.00,33113134.00,33441054.00,33814531.00,34224490.00,34604469.00,34988947.00,35373335.00,35757900.00,36137812.00,36511638.00,36864898.00,37191330.00,37491165.00,37758631.00,37986012.00,38171525.00,38330364.00,38469512.00,38584624.00,38684815.00,38766939.00,38827764.00,38867322.00,38966376.00,39157685.00,39361262.00,39549108.00,39724050.00,39889852.00,40057389.00,40223509.00,40386875.00,40567864.00,40850412.00,41431558.00,42187645.00,42921895.00,43653155.00,44397319.00,45226803.00,45954106.00,46362946.00,46576897.00,46742697.00,46773055.00,46620045.00,46480882.00,46444832.00,46484062.00,46593236.00,46797754.00,47134837.00,47363419.00
Estonia,1211537.00,1225077.00,1241623.00,1258857.00,1277086.00,1294566.00,1308597.00,1318946.00,1331214.00,1345249.00,1360076.00,1376955.00,1392518.00,1405951.00,1418169.00,1429352.00,1439576.00,1450211.00,1460188.00,1468333.00,1477219.00,1487666.00,1498414.00,1508745.00,1518617.00,1528781.00,1540190.00,1552221.00,1561900.00,1568131.00,1569174.00,1561314.00,1533091.00,1494128.00,1462514.00,1436634.00,1415594.00,1399535.00,1386156.00,1390244.00,1396985.00,1388115.00,1379350.00,1370720.00,1362550.00,1354775.00,1346810.00,1340680.00,1337090.00,1334515.00,1331475.00,1327439.00,1322696.00,1317997.00,1314545.00,1315407.00,1315790.00,1317384.00,1321977.00,1326855.00,1329479.00
Ethiopia,22151284.00,22671193.00,23221385.00,23798418.00,24397010.00,25013634.00,25641040.00,26280135.00,26944386.00,27652715.00,28415080.00,29248650.00,30140799.00,31036670.00,31861353.00,32566855.00,33128151.00,33577240.00,33993301.00,34487806.00,35141703.00,35984531.00,36995246.00,38142679.00,39374346.00,40652146.00,41965696.00,43329238.00,44757205.00,46272308.00,47887864.00,49609976.00,51423591.00,53295556.00,55180993.00,57047906.00,58883531.00,60697443.00,62507724.00,64343008.00,66224809.00,68159422.00,70142090.00,72170581.00,74239508.00,76346310.00,78489205.00,80674343.00,82916236.00,85233923.00,87639962.00,90139928.00,92726982.00,95385793.00,98094264.00,100835453.00,103603461.00,106399926.00,109224410.00,112078727.00,114963583.00
European Union,356906098.00,359998408.00,363200480.00,366516509.00,369850237.00,373032729.00,376039129.00,378917964.00,381605442.00,384216977.00,386322917.00,388391948.00,390995000.00,393524745.00,395949381.00,398316579.00,400473497.00,402425493.00,404271789.00,406051882.00,407875838.00,409551911.00,410895608.00,411974424.00,412931321.00,413924499.00,415076367.00,416301843.00,417653046.00,419073139.00,420477999.00,421730520.00,422963890.00,424341124.00,425399126.00,426203356.00,426896861.00,427538048.00,428109867.00,428815486.00,429328622.00,429895628.00,430881947.00,432415932.00,434040244.00,435581949.00,436998045.00,438468397.00,439876674.00,440917801.00,441532415.00,440746989.00,441395937.00,442469469.00,443576675.00,444543761.00,445487730.00,446186344.00,446915113.00,447197811.00,447479493.00
